tahun;bulan;pelaku_kekerasan;jumlah_kekerasan
2020;1;Orang Tua;9
2020;1;Keluarga;8
2020;1;Suami;29
2020;1;Lainnya;36
2020;1;Pacar;9
2020;1;Tetangga;11
2020;2;Orang Tua;6
2020;2;Keluarga;5
2020;2;Suami;29
2020;2;Lainnya;37
2020;2;Pacar;3
2020;2;Tetangga;5
2020;3;Orang Tua;6
2020;3;Keluarga;7
2020;3;Suami;36
2020;3;Lainnya;51
2020;3;Pacar;9
2020;3;Tetangga;14
2020;4;Orang Tua;11
2020;4;Keluarga;5
2020;4;Suami;21
2020;4;Lainnya;10
2020;4;Pacar;3
2020;4;Tetangga;4
2020;5;Orang Tua;4
2020;5;Keluarga;4
2020;5;Suami;21
2020;5;Lainnya;5
2020;5;Pacar;9
2020;5;Tetangga;2
2020;6;Orang Tua;8
2020;6;Keluarga;0
2020;6;Suami;33
2020;6;Lainnya;41
2020;6;Pacar;0
2020;6;Tetangga;0
2020;7;Orang Tua;10
2020;7;Keluarga;5
2020;7;Suami;22
2020;7;Lainnya;9
2020;7;Pacar;5
2020;7;Tetangga;3
2020;8;Orang Tua;9
2020;8;Keluarga;1
2020;8;Suami;19
2020;8;Lainnya;8
2020;8;Pacar;2
2020;8;Tetangga;7
2020;9;Orang Tua;1
2020;9;Keluarga;2
2020;9;Suami;18
2020;9;Lainnya;3
2020;9;Pacar;3
2020;9;Tetangga;2
2020;10;Orang Tua;3
2020;10;Keluarga;0
2020;10;Suami;24
2020;10;Lainnya;1
2020;10;Pacar;1
2020;10;Tetangga;0
2020;11;Orang Tua;7
2020;11;Keluarga;3
2020;11;Suami;28
2020;11;Lainnya;9
2020;11;Pacar;3
2020;11;Tetangga;4
2020;12;Orang Tua;2
2020;12;Keluarga;2
2020;12;Suami;13
2020;12;Lainnya;9
2020;12;Pacar;2
2020;12;Tetangga;1
